India-Thapar-CSED,http://2016.igem.org/Team:India-Thapar-CSED
IngenuityLab_Canada,http://2016.igem.org/Team:IngenuityLab_Canada
INSA-Lyon,http://2016.igem.org/Team:INSA-Lyon
Ionis_Paris,http://2016.igem.org/Team:Ionis_Paris
Istanbul_Tech,http://2016.igem.org/Team:Istanbul_Tech
IvyTech_SouthBend_IN,http://2016.igem.org/Team:IvyTech_SouthBend_IN
Jilin_China,http://2016.igem.org/Team:Jilin_China
JNFLS_China,http://2016.igem.org/Team:JNFLS_China
JSNU-China,http://2016.igem.org/Team:JSNU-China
JSNU_CHINA,http://2016.igem.org/Team:JSNU_CHINA
Judd_UK,http://2016.igem.org/Team:Judd_UK
KAIT_Japan,http://2016.igem.org/Team:KAIT_Japan
Kent,http://2016.igem.org/Team:Kent
Kingsborough_NY,http://2016.igem.org/Team:Kingsborough_NY
KoreaSonyeodul,http://2016.igem.org/Team:KoreaSonyeodul
Korea_U_Seoul,http://2016.igem.org/Team:Korea_U_Seoul
Kyoto,http://2016.igem.org/Team:Kyoto
LambertGA,http://2016.igem.org/Team:LambertGA
Lanzhou,http://2016.igem.org/Team:Lanzhou
Leicester,http://2016.igem.org/Team:Leicester
Leiden,http://2016.igem.org/Team:Leiden
Lethbridge,http://2016.igem.org/Team:Lethbridge
Lethbridge_HS,http://2016.igem.org/Team:Lethbridge_HS
Liceo_Eugenio_Hostos,http://2016.igem.org/Team:Liceo_Eugenio_Hostos
Linkoping_Sweden,http://2016.igem.org/Team:Linkoping_Sweden
LMU-TUM_Munich,http://2016.igem.org/Team:LMU-TUM_Munich
LN-Shiyan-China,http://2016.igem.org/Team:LN-Shiyan-China
Lubbock_TTU,http://2016.igem.org/Team:Lubbock_TTU
Macquarie_Australia,http://2016.igem.org/Team:Macquarie_Australia
Manchester,http://2016.igem.org/Team:Manchester
Marburg,http://2016.igem.org/Team:Marburg
McGill-McMaster,http://2016.igem.org/Team:McGill-McMaster
McMasterU,http://2016.igem.org/Team:McMasterU
Melbourne,http://2016.igem.org/Team:Melbourne
METU_HS_Ankara,http://2016.igem.org/Team:METU_HS_Ankara
Michigan,http://2016.igem.org/Team:Michigan
Michigan_Software,http://2016.igem.org/Team:Michigan_Software
Mingdao,http://2016.igem.org/Team:Mingdao
Minnesota,http://2016.igem.org/Team:Minnesota
Missouri_Rolla,http://2016.igem.org/Team:Missouri_Rolla
MIT,http://2016.igem.org/Team:MIT
MSU-Michigan,http://2016.igem.org/Team:MSU-Michigan
Nagahama,http://2016.igem.org/Team:Nagahama
Nanjing-China,http://2016.igem.org/Team:Nanjing-China
Nanjing_NFLS,http://2016.igem.org/Team:Nanjing_NFLS
NAU-CHINA,http://2016.igem.org/Team:NAU-CHINA
NAWI-Graz,http://2016.igem.org/Team:NAWI-Graz
NCKU_Tainan,http://2016.igem.org/Team:NCKU_Tainan
NCL_India,http://2016.igem.org/Team:NCL_India
NCTU_Formosa,http://2016.igem.org/Team:NCTU_Formosa
NEFU_China,http://2016.igem.org/Team:NEFU_China
NEU-China,http://2016.igem.org/Team:NEU-China
Newcastle,http://2016.igem.org/Team:Newcastle
NJU-China,http://2016.igem.org/Team:NJU-China
NKU_China,http://2016.igem.org/Team:NKU_China
Northeastern,http://2016.igem.org/Team:Northeastern
NorthernBC,http://2016.igem.org/Team:NorthernBC
Northwestern,http://2016.igem.org/Team:Northwestern
NRP-UEA-Norwich,http://2016.igem.org/Team:NRP-UEA-Norwich
NTHU_Taiwan,http://2016.igem.org/Team:NTHU_Taiwan
NTNU_Trondheim,http://2016.igem.org/Team:NTNU_Trondheim
NTU-Singapore,http://2016.igem.org/Team:NTU-Singapore
NUDT_CHINA,http://2016.igem.org/Team:NUDT_CHINA
NUS_Singapore,http://2016.igem.org/Team:NUS_Singapore
NWPU,http://2016.igem.org/Team:NWPU
NYMU-Taipei,http://2016.igem.org/Team:NYMU-Taipei
NYU-AD,http://2016.igem.org/Team:NYU-AD
NYU_Shanghai,http://2016.igem.org/Team:NYU_Shanghai
OLS_Canmore,http://2016.igem.org/Team:OLS_Canmore
OUC-China,http://2016.igem.org/Team:OUC-China
Oxford,http://2016.igem.org/Team:Oxford
Paris_Bettencourt,http://2016.igem.org/Team:Paris_Bettencourt
Paris_Saclay,http://2016.igem.org/Team:Paris_Saclay
Pasteur_Paris,http://2016.igem.org/Team:Pasteur_Paris
Peking,http://2016.igem.org/Team:Peking
Peshawar,http://2016.igem.org/Team:Peshawar
Pittsburgh,http://2016.igem.org/Team:Pittsburgh
Pretoria_UP,http://2016.igem.org/Team:Pretoria_UP
Pumas_Mexico,http://2016.igem.org/Team:Pumas_Mexico
Purdue,http://2016.igem.org/Team:Purdue
Queens_Canada,http://2016.igem.org/Team:Queens_Canada
RHIT,http://2016.igem.org/Team:RHIT
Rice,http://2016.igem.org/Team:Rice
Richard_Montgomery,http://2016.igem.org/Team:Richard_Montgomery
Rock_Ridge_Virginia,http://2016.igem.org/Team:Rock_Ridge_Virginia
Ryerson_Toronto,http://2016.igem.org/Team:Ryerson_Toronto
Saint_Rose_School_A,http://2016.igem.org/Team:Saint_Rose_School_A
Saint_Rose_School_B,http://2016.igem.org/Team:Saint_Rose_School_B
SCAU-China,http://2016.igem.org/Team:SCAU-China
SCSU-New_Haven,http://2016.igem.org/Team:SCSU-New_Haven
SCU-China,http://2016.igem.org/Team:SCU-China
SCUT-China_A,http://2016.igem.org/Team:SCUT-China_A
SCUT-China_B,http://2016.igem.org/Team:SCUT-China_B
SDSZ_China,http://2016.igem.org/Team:SDSZ_China
SDU-Denmark,http://2016.igem.org/Team:SDU-Denmark
ShanghaitechChina,http://2016.igem.org/Team:ShanghaitechChina
ShanghaiTechChina_B,http://2016.igem.org/Team:ShanghaiTechChina_B
Sheffield,http://2016.igem.org/Team:Sheffield
Shenzhen_SFLS,http://2016.igem.org/Team:Shenzhen_SFLS
SJTU-BioX-Shanghai,http://2016.igem.org/Team:SJTU-BioX-Shanghai
SJTU-Software,http://2016.igem.org/Team:SJTU-Software
Slovenia,http://2016.igem.org/Team:Slovenia
SMS_Shenzhen,http://2016.igem.org/Team:SMS_Shenzhen
SPS_singapore,http://2016.igem.org/Team:SPS_singapore
SRM_Chennai,http://2016.igem.org/Team:SRM_Chennai
Stanford-Brown,http://2016.igem.org/Team:Stanford-Brown
Stockholm,http://2016.igem.org/Team:Stockholm
Stony_Brook,http://2016.igem.org/Team:Stony_Brook
StuyGem,http://2016.igem.org/Team:StuyGem
SUSTech_Shenzhen,http://2016.igem.org/Team:SUSTech_Shenzhen
SVCE_CHENNAI,http://2016.igem.org/Team:SVCE_CHENNAI
Sydney_Australia,http://2016.igem.org/Team:Sydney_Australia
SYSU-CHINA,http://2016.igem.org/Team:SYSU-CHINA
SYSU-MED,http://2016.igem.org/Team:SYSU-MED
SYSU-MEDICINE,http://2016.igem.org/Team:SYSU-MEDICINE
SYSU-Software,http://2016.igem.org/Team:SYSU-Software
SZU-China,http://2016.igem.org/Team:SZU-China
TAS_Taipei,http://2016.igem.org/Team:TAS_Taipei
TCU_Taiwan,http://2016.igem.org/Team:TCU_Taiwan
Tec-Chihuahua,http://2016.igem.org/Team:Tec-Chihuahua
TEC-Costa_Rica,http://2016.igem.org/Team:TEC-Costa_Rica
Tec-Monterrey,http://2016.igem.org/Team:Tec-Monterrey
TecCEM,http://2016.igem.org/Team:TecCEM
TecCEM_HS,http://2016.igem.org/Team:TecCEM_HS
Technion_Israel,http://2016.igem.org/Team:Technion_Israel
TEC_GenetiX_CCM,http://2016.igem.org/Team:TEC_GenetiX_CCM
Tel-Hai,http://2016.igem.org/Team:Tel-Hai
Tianjin,http://2016.igem.org/Team:Tianjin
TJUSLS_China,http://2016.igem.org/Team:TJUSLS_China
TMMU_China,http://2016.igem.org/Team:TMMU_China
Tokyo_Tech,http://2016.igem.org/Team:Tokyo_Tech
Tonbridge,http://2016.igem.org/Team:Tonbridge
Tongji_Shanghai,http://2016.igem.org/Team:Tongji_Shanghai
Toronto,http://2016.igem.org/Team:Toronto
Toulouse_France,http://2016.igem.org/Team:Toulouse_France
TP_CC_SanDiego,http://2016.igem.org/Team:TP_CC_SanDiego
TrinityCollegeDublin,http://2016.igem.org/Team:TrinityCollegeDublin
Tsinghua,http://2016.igem.org/Team:Tsinghua
Tsinghua-A,http://2016.igem.org/Team:Tsinghua-A
TU-Eindhoven,http://2016.igem.org/Team:TU-Eindhoven
Tuebingen,http://2016.igem.org/Team:Tuebingen
Tufts,http://2016.igem.org/Team:Tufts
TU_Darmstadt,http://2016.igem.org/Team:TU_Darmstadt
TU_Delft,http://2016.igem.org/Team:TU_Delft
UAM_Poznan,http://2016.igem.org/Team:UAM_Poznan
UBonn_HBRS,http://2016.igem.org/Team:UBonn_HBRS
UCAS,http://2016.igem.org/Team:UCAS
UCC_Ireland,http://2016.igem.org/Team:UCC_Ireland
UChicago,http://2016.igem.org/Team:UChicago
UCL,http://2016.igem.org/Team:UCL
UCLA,http://2016.igem.org/Team:UCLA
UCLouvain,http://2016.igem.org/Team:UCLouvain
UConn,http://2016.igem.org/Team:UConn
UCSC,http://2016.igem.org/Team:UCSC
UCSD_Auditory,http://2016.igem.org/Team:UCSD_Auditory
UC_Davis,http://2016.igem.org/Team:UC_Davis
UC_San_Diego,http://2016.igem.org/Team:UC_San_Diego
UESTC-China,http://2016.igem.org/Team:UESTC-China
UESTC-software,http://2016.igem.org/Team:UESTC-software
UFAM-UEA_Brazil,http://2016.igem.org/Team:UFAM-UEA_Brazil
UGA-Georgia,http://2016.igem.org/Team:UGA-Georgia
UGent_Belgium,http://2016.igem.org/Team:UGent_Belgium
UI-Indonesia,http://2016.igem.org/Team:UI-Indonesia
UiOslo_Norway,http://2016.igem.org/Team:UiOslo_Norway
UIUC_Illinois,http://2016.igem.org/Team:UIUC_Illinois
ULV-LC-CV,http://2016.igem.org/Team:ULV-LC-CV
UMaryland,http://2016.igem.org/Team:UMaryland
UMass-Dartmouth,http://2016.igem.org/Team:UMass-Dartmouth
UNC-Chapel_Hill,http://2016.igem.org/Team:UNC-Chapel_Hill
UNebraska-Lincoln,http://2016.igem.org/Team:UNebraska-Lincoln
UNH_Durham,http://2016.igem.org/Team:UNH_Durham
